"pthread_cond_signal - no threads waiting","psxtmcond02","psxtmtest_single",
"pthread_cond_signal - thread waiting, no preempt","psxtmcond03","psxtmtest_unblocking_nopreempt",
"pthread_cond_signal - thread waiting, preempt","psxtmcond04","psxtmtest_unblocking_preempt",
"pthread_cond_broadcast - no threads waiting","psxtmcond05","psxtmtest_single",
"pthread_cond_broadcast -  threads waiting, no preempt","psxtmcond06","psxtmtest_unblocking_nopreempt",
"pthread_cond_broadcast -  threads waiting, preempt","psxtmcond07","psxtmtest_unblocking_preempt",
"pthread_cond_wait - blocks","psxtmcond08","psxtmtest_blocking",
"pthread_cond_timedwait - blocks","psxtmcond09","psxtmtest_blocking",
"pthread_create - preempt","psxtmthread02","psxtmtest_single",
"pthread_setschedparam - lower own priority, preempt","psxtmthread05","psxtmtest_single",
"pthread_setschedparam - raise other priority, preempt","psxtmthread06","psxtmtest_single",
"pthread_barrier_wait - releasing, preempt","psxtmbarrier04","psxtmtest_unblocking_preempt",
"pthread_spin_init and pthread_spin_destroy","psxspin01","psxtmtest_init_destroy",
