Update Citations 2012-1, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 1. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=0&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, crempel2, Outreach/Research, wiki
Update Citations 2012-2, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 2. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=10&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, hiddenpearls, Outreach/Research, wiki
Update Citations 2012-3, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 3. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=20&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, vipulnayyar, Outreach/Research, wiki
Update Citations 2012-4, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 4. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=30&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, joel_sherrill, Outreach/Research, wiki
Update Citations 2012-5, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 5. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=40&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, gedare, Outreach/Research, wiki
Update Citations 2012-6, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 6. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=50&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, crempel2, Outreach/Research, wiki
Update Citations 2012-7, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 7. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=60&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, hiddenpearls, Outreach/Research, wiki
Update Citations 2012-8, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 8. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=70&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, vipulnayyar, Outreach/Research, wiki
Update Citations 2012-9, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 9. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=80&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, joel_sherrill, Outreach/Research, wiki
Update Citations 2012-10, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 10. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=90&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, gedare, Outreach/Research, wiki
Update Citations 2012-11, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 11. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=100&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, crempel2, Outreach/Research, wiki
Update Citations 2012-12, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 12. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=110&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, hiddenpearls, Outreach/Research, wiki
Update Citations 2012-13, This task consists of updating the <a href=http://wiki.rtems.org/wiki/index.php/RTEMSReferences>RTEMS References Wiki page</a> according to the instructions given in the <a href=http://wiki.rtems.org/wiki/index.php/GoogleCodeInProjects#Update_List_of_Citations> RTEMS GoogleCodeInProjects Wiki page</a> for the year 2012 and page 13. You will need to request a user account on the wiki and be careful to avoid making updates that conflict or delete other relevant citations. You will upload a text file containing the entries that you added to the wiki page. We have constructed the <a href=http://scholar.google.com/scholar?start=120&q=RTEMS&hl=en&lr=lang_en&as_sdt=1%2C47&as_vis=1&as_ylo=2012&as_yhi=2012>Google Scholar search for this task</a> for your convenience., 72, vipulnayyar, Outreach/Research, wiki
